scenario,activation_name,activation_family,activation_slug,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,activation_label,sample_idx,entropy,support_size
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,0,0.43968054625134867,2.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,1,5.526204223185709e-11,1.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,2,1.0375677205492913,3.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,3,5.526204223185709e-11,1.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,4,0.6449845567923568,2.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,5,0.35290442748580175,2.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,6,5.526204223185709e-11,1.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,7,5.526204223185709e-11,1.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,0,0.5657768199870863,2.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,1,0.6753181864723958,2.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,2,0.6641483151718337,2.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,3,0.5915455085088839,2.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,4,5.526204223185709e-11,1.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,5,0.3634508598842215,2.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,6,0.24557082962550283,2.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,7,0.6926710840350183,2.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,0,0.5966622308635807,2.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,1,0.6910082230811349,2.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,2,5.526204223185709e-11,1.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,3,0.1177516008231596,2.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,4,5.526204223185709e-11,1.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,5,5.526204223185709e-11,1.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,6,0.6925963862239127,2.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,7,5.526204223185709e-11,1.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,0,5.526204223185709e-11,1.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,1,0.2718007307587959,2.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,2,5.526204223185709e-11,1.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,3,0.6253456977306101,2.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,4,5.526204223185709e-11,1.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,5,5.526204223185709e-11,1.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,6,0.25833702055956964,2.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,7,5.526204223185709e-11,1.0
