scenario,activation_name,activation_family,activation_slug,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,activation_label,model_name,profile_key,gt_epsilon
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,ground_truth,4|0,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,quantum_encoded,4|0,0.0
shallow_low_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,1,3.0,low,0.85,False,0.40643507541480794,entmax_1p5,residual_mlp,4|0,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,ground_truth,4|0,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,quantum_encoded,4|0,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,2,3,1,3.0,low,0.85,False,0.40643507541480794,sparsemax,residual_mlp,4|0,0.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,ground_truth,0|0,0.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,ground_truth,6|0,0.008868808801242647
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,quantum_encoded,0|0,0.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,quantum_encoded,6|0,0.008868808801242647
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,residual_mlp,0|0,0.0
deep_high_conflict,entmax(alpha=1.50),entmax,entmax_a1p50,2,3,3,3.0,high,0.15,False,0.3614650710855811,entmax_1p5,residual_mlp,4|4,0.14102015146159652
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,ground_truth,6|0,0.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,ground_truth,0|0,0.037727706382594955
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,quantum_encoded,6|0,0.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,quantum_encoded,0|0,0.037727706382594955
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,residual_mlp,4|4,0.1079579633201665
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,residual_mlp,0|0,0.037727706382594955
deep_high_conflict,sparsemax,sparsemax,sparsemax,2,3,3,3.0,high,0.15,False,0.3614650710855811,sparsemax,residual_mlp,6|0,0.0
