scenario,activation_label,activation_name,activation_family,activation_slug,model_name,mean_regret
deep_high_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,ground_truth,0.0
deep_high_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,quantum_encoded,0.0
deep_high_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,residual_mlp,0.06370729012893218
deep_high_conflict,sparsemax,sparsemax,sparsemax,sparsemax,ground_truth,0.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,sparsemax,quantum_encoded,0.0
deep_high_conflict,sparsemax,sparsemax,sparsemax,sparsemax,residual_mlp,0.01835281248167407
shallow_low_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,ground_truth,0.0
shallow_low_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,quantum_encoded,0.0
shallow_low_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,residual_mlp,0.002011016226357798
shallow_low_conflict,sparsemax,sparsemax,sparsemax,sparsemax,ground_truth,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,sparsemax,quantum_encoded,0.0
shallow_low_conflict,sparsemax,sparsemax,sparsemax,sparsemax,residual_mlp,0.019298004358641346
