scenario,activation_label,activation_name,activation_family,activation_slug,model_name,accuracy,mean_regret,mean_epsilon,avg_entropy,avg_support_size
deep_high_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,ground_truth,1.0,0.0,0.004434404400621324,0.2622523051516045,1.5
deep_high_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,quantum_encoded,1.0,0.0,0.004434404400621324,0.2622523051516045,1.5
deep_high_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,residual_mlp,0.875,0.06370729012893218,0.07051007573079826,0.2622523051516045,1.5
deep_high_conflict,sparsemax,sparsemax,sparsemax,sparsemax,ground_truth,1.0,0.0,0.018863853191297478,0.14443543116566074,1.375
deep_high_conflict,sparsemax,sparsemax,sparsemax,sparsemax,quantum_encoded,1.0,0.0,0.018863853191297478,0.14443543116566074,1.375
deep_high_conflict,sparsemax,sparsemax,sparsemax,sparsemax,residual_mlp,0.9375,0.01835281248167407,0.04856188990092048,0.14443543116566074,1.375
shallow_low_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,ground_truth,1.0,0.0,0.0,0.3093921564124808,1.625
shallow_low_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,quantum_encoded,1.0,0.0,0.0,0.3093921564124808,1.625
shallow_low_conflict,entmax_1p5,entmax(alpha=1.50),entmax,entmax_a1p50,residual_mlp,0.9375,0.002011016226357798,0.0,0.3093921564124808,1.625
shallow_low_conflict,sparsemax,sparsemax,sparsemax,sparsemax,ground_truth,1.0,0.0,0.0,0.47481020046752553,1.875
shallow_low_conflict,sparsemax,sparsemax,sparsemax,sparsemax,quantum_encoded,1.0,0.0,0.0,0.47481020046752553,1.875
shallow_low_conflict,sparsemax,sparsemax,sparsemax,sparsemax,residual_mlp,0.75,0.019298004358641346,0.0,0.47481020046752553,1.875
