scenario,num_agents,state_dim,mixing_depth,activation_name,markov_graph_degree,markov_inertia,mean_action_budget,conflict_level,rho,mean_target_overlap,sample_idx,entropy,support_size
markov_low_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,0,1.0973095228381649,3.0
markov_low_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,1.0973456270012896,3.0
markov_low_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,2,1.097353510879793,3.0
markov_low_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,3,1.0972515728166878,3.0
markov_low_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,4,1.0972541139646408,3.0
markov_low_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,5,1.0974591487638337,3.0
markov_low_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,6,1.0973902166580518,3.0
markov_low_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,7,1.0971949470277005,3.0
markov_high_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,high,0.15,0.3547092663065807,0,1.0973136599125273,3.0
markov_high_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,high,0.15,0.3547092663065807,1,1.0972070428235625,3.0
markov_high_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,high,0.15,0.3547092663065807,2,1.097401748763839,3.0
markov_high_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,high,0.15,0.3547092663065807,3,1.0972920235620343,3.0
markov_high_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,high,0.15,0.3547092663065807,4,1.0975432760509678,3.0
markov_high_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,high,0.15,0.3547092663065807,5,1.097311861403792,3.0
markov_high_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,high,0.15,0.3547092663065807,6,1.0974401921708097,3.0
markov_high_conflict,2,3,3,softmax(beta=1.00),1,0.25,3.0,high,0.15,0.3547092663065807,7,1.0973440811990376,3.0
