horizon,model_name,accuracy,regret
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,0.0,0.01013661073408123
1,quantum_encoded,1.0,0.0
1,residual_mlp,0.0,0.03775890887713085
1,quantum_encoded,1.0,0.0
1,residual_mlp,0.0,0.026270148168761054
1,quantum_encoded,1.0,0.0
1,residual_mlp,0.0,0.026369802726184777
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
1,quantum_encoded,1.0,0.0
1,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
3,quantum_encoded,1.0,0.0
3,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
5,quantum_encoded,1.0,0.0
5,residual_mlp,1.0,0.0
