scenario,num_agents,state_dim,mixing_depth,activation_name,markov_graph_degree,markov_inertia,mean_action_budget,conflict_level,rho,mean_target_overlap,horizon,sample_idx,method,query_budget,observable_error,utility_error
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,0,amplitude_estimation,8,0.16092798139458553,0.16092798139458553
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,0,monte_carlo,8,0.16092798139458564,0.16092798139458564
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,0,amplitude_estimation,32,0.03041373478795928,0.030413734787959293
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,0,monte_carlo,32,0.15157201860541436,0.15157201860541436
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,1,amplitude_estimation,8,0.16426512593901382,0.16426512593901382
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,1,monte_carlo,8,0.039265125939013934,0.039265125939013934
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,1,amplitude_estimation,32,0.027076590243530985,0.027076590243530985
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,1,monte_carlo,32,0.008015125939013934,0.008015125939013934
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,2,amplitude_estimation,8,0.16159525809377928,0.16159525809377928
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,2,monte_carlo,8,0.03659525809377939,0.03659525809377939
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,2,amplitude_estimation,32,0.029746458088765526,0.029746458088765526
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,2,monte_carlo,32,0.03659525809377939,0.03659525809377939
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,3,amplitude_estimation,8,0.17025748443225952,0.17025748443225952
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,3,monte_carlo,8,0.20474251556774037,0.20474251556774037
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,3,amplitude_estimation,32,0.021084231750285287,0.021084231750285287
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,3,monte_carlo,32,0.11099251556774037,0.11099251556774037
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,4,amplitude_estimation,8,0.17277482851565046,0.17277482851565046
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,4,monte_carlo,8,0.07722517148434943,0.07722517148434943
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,4,amplitude_estimation,32,0.01856688766689435,0.01856688766689435
markov_low_conflict_h1,2,3,1,softmax(beta=1.00),1,0.25,3.0,low,0.85,0.4739792389324737,1,4,monte_carlo,32,0.04777482851565057,0.04777482851565057
