horizon,method,query_budget,observable_error,utility_error
1,amplitude_estimation,8,0.16635511042315748,0.16635511042315748
1,amplitude_estimation,32,0.02498660575938732,0.02498660575938732
1,monte_carlo,8,0.13618851317680578,0.13618851317680578
1,monte_carlo,32,0.08925356769188988,0.08925356769188988
3,amplitude_estimation,8,0.15813766321051986,0.15813766321051986
3,amplitude_estimation,32,0.03320405297202494,0.03320405297202494
3,monte_carlo,8,0.11769961310870752,0.11769961310870752
3,monte_carlo,32,0.07564151032766908,0.07564151032766907
5,amplitude_estimation,8,0.15812678918751186,0.15812678918751186
5,amplitude_estimation,32,0.03321492699503295,0.03321492699503295
5,monte_carlo,8,0.11765701876416916,0.11765701876416916
5,monte_carlo,32,0.10156234230201844,0.10156234230201844
