scenario,model_name,profile_key,gt_epsilon
shallow_low_conflict,ground_truth,0|0,0.0
shallow_low_conflict,ground_truth,0|1,0.0845237330119819
shallow_low_conflict,ground_truth,1|0,0.0845237330119819
shallow_low_conflict,ground_truth,0|2,0.08615367799836493
shallow_low_conflict,ground_truth,0|5,0.08615367799836493
shallow_low_conflict,ground_truth,2|0,0.08615367799836493
shallow_low_conflict,quantum_encoded,0|0,0.0
shallow_low_conflict,quantum_encoded,0|1,0.0845237330119819
shallow_low_conflict,quantum_encoded,1|0,0.0845237330119819
shallow_low_conflict,quantum_encoded,0|2,0.08615367799836493
shallow_low_conflict,quantum_encoded,0|5,0.08615367799836493
shallow_low_conflict,quantum_encoded,2|0,0.08615367799836493
shallow_low_conflict,residual_mlp,0|0,0.0
medium_conflict,ground_truth,0|0,0.0
medium_conflict,quantum_encoded,0|0,0.0
medium_conflict,residual_mlp,0|0,0.0
deep_high_conflict,ground_truth,6|2,0.0
deep_high_conflict,ground_truth,6|1,0.012333456696555944
deep_high_conflict,ground_truth,3|2,0.019069735201134252
deep_high_conflict,ground_truth,3|1,0.019151903836073958
deep_high_conflict,quantum_encoded,6|2,0.0
deep_high_conflict,quantum_encoded,6|1,0.012333456696555944
deep_high_conflict,quantum_encoded,3|2,0.019069735201134252
deep_high_conflict,quantum_encoded,3|1,0.019151903836073958
deep_high_conflict,residual_mlp,6|2,0.0
deep_high_conflict,residual_mlp,6|1,0.012333456696555944
deep_high_conflict,residual_mlp,3|2,0.019069735201134252
deep_high_conflict,residual_mlp,3|1,0.019151903836073958
