horizon,method,query_budget,accuracy,regret
1,amplitude_estimation,8,0.0,0.029712184424069116
1,amplitude_estimation,32,0.0,0.029712184424069116
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,1.0,0.0
1,monte_carlo,32,0.0,0.029712184424069116
1,monte_carlo,128,1.0,0.0
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,1.0,0.0
1,monte_carlo,32,1.0,0.0
1,monte_carlo,128,1.0,0.0
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,0.0,0.00950565990011365
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.047159248005816945
1,monte_carlo,32,1.0,0.0
1,monte_carlo,128,0.0,0.00950565990011365
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.0595748600814031
1,monte_carlo,32,0.0,0.06596635996285509
1,monte_carlo,128,0.0,0.039995642586032956
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.10560777749220684
1,monte_carlo,32,1.0,0.0
1,monte_carlo,128,1.0,0.0
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,0.0,0.04610626101612392
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.06288192970855706
1,monte_carlo,32,1.0,0.0
1,monte_carlo,128,1.0,0.0
1,amplitude_estimation,8,0.0,0.013842086191283895
1,amplitude_estimation,32,0.0,0.0007026419968908515
1,amplitude_estimation,128,0.0,0.0007026419968908515
1,monte_carlo,8,0.0,0.034525410864655104
1,monte_carlo,32,0.0,0.03173720921802725
1,monte_carlo,128,0.0,0.020036441914220687
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.09855082490457773
1,monte_carlo,32,1.0,0.0
1,monte_carlo,128,0.0,0.07515336194548963
1,amplitude_estimation,8,0.0,0.0049431287927475115
1,amplitude_estimation,32,0.0,0.0049431287927475115
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.0049431287927475115
1,monte_carlo,32,0.0,0.06403448946875717
1,monte_carlo,128,1.0,0.0
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.140827775890618
1,monte_carlo,32,1.0,0.0
1,monte_carlo,128,1.0,0.0
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,0.0,0.029060062788787824
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.06394860762473263
1,monte_carlo,32,1.0,0.0
1,monte_carlo,128,1.0,0.0
1,amplitude_estimation,8,0.0,0.007624755123347635
1,amplitude_estimation,32,0.0,0.007624755123347635
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.0513002304955123
1,monte_carlo,32,0.0,0.0513002304955123
1,monte_carlo,128,0.0,0.007624755123347635
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.02589616603087369
1,monte_carlo,32,0.0,0.02589616603087369
1,monte_carlo,128,0.0,0.023158693016923054
1,amplitude_estimation,8,1.0,0.0
1,amplitude_estimation,32,1.0,0.0
1,amplitude_estimation,128,1.0,0.0
1,monte_carlo,8,0.0,0.06519031266149183
1,monte_carlo,32,1.0,0.0
1,monte_carlo,128,0.0,0.04521020654602484
1,amplitude_estimation,8,0.0,0.0008252180976388024
