scenario,num_agents,state_dim,mixing_depth,activation_name,markov_graph_degree,markov_inertia,mean_action_budget,conflict_level,rho,mean_target_overlap,horizon,sample_idx,method,query_budget,observable_error,utility_error
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,0,amplitude_estimation,8,0.06796505477020189,0.06796505477020189
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,0,monte_carlo,8,0.2425699207592944,0.2425699207592944
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,0,amplitude_estimation,32,0.007803219313270757,0.007803219313270757
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,0,monte_carlo,32,0.023055079240705587,0.023055079240705587
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,0,amplitude_estimation,128,0.002602188627502222,0.002602188627502222
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,0,monte_carlo,128,0.05897617075929441,0.05897617075929441
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,1,amplitude_estimation,8,0.03153136655132975,0.03153136655132975
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,1,monte_carlo,8,0.11547797595805599,0.11547797595805599
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,1,amplitude_estimation,32,0.028299775699551735,0.028299775699551735
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,1,monte_carlo,32,0.056459361342184586,0.056459361342184586
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,1,amplitude_estimation,128,0.0044660357107219745,0.0044660357107219745
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,1,monte_carlo,128,0.0017718613421845858,0.0017718613421845858
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,2,amplitude_estimation,8,0.018861949784237428,0.018861949784237428
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,2,monte_carlo,8,0.08136194978423743,0.08136194978423743
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,2,amplitude_estimation,32,0.018861949784237428,0.018861949784237428
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,2,monte_carlo,32,0.009626536820374884,0.009626536820374884
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,2,amplitude_estimation,128,0.0033790568708692847,0.0033790568708692847
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,2,monte_carlo,128,0.003236949784237428,0.003236949784237428
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,3,amplitude_estimation,8,0.08942674787246414,0.08942674787246414
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,3,monte_carlo,8,0.027142461371520196,0.027142461371520196
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,3,amplitude_estimation,32,0.012909985240570465,0.012909985240570465
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,3,monte_carlo,32,0.051198252127535857,0.051198252127535857
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,3,amplitude_estimation,128,0.004448899198467554,0.004448899198467554
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,3,monte_carlo,128,0.031667002127535857,0.031667002127535857
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,4,amplitude_estimation,8,0.0293346443832306,0.0293346443832306
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,4,monte_carlo,8,0.0293346443832306,0.0293346443832306
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,4,amplitude_estimation,32,0.0293346443832306,0.0293346443832306
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,4,monte_carlo,32,0.020688050332981288,0.020688050332981288
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,4,amplitude_estimation,128,0.004976947953330126,0.004976947953330126
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,4,monte_carlo,128,0.018374449667018712,0.018374449667018712
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,5,amplitude_estimation,8,0.013331609265676392,0.013331609265676392
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,5,monte_carlo,8,0.024054913969039513,0.024054913969039513
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,5,amplitude_estimation,32,0.013331609265676392,0.013331609265676392
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,5,monte_carlo,32,0.008429913969039513,0.008429913969039513
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,5,amplitude_estimation,128,0.004444652680794123,0.004444652680794123
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,5,monte_carlo,128,0.008429913969039513,0.008429913969039513
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,6,amplitude_estimation,8,0.10017539245223908,0.10017539245223908
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,6,monte_carlo,8,0.14982460754776092,0.14982460754776092
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,6,amplitude_estimation,32,0.012021152532124782,0.012021152532124782
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,6,monte_carlo,32,0.10294960754776092,0.10294960754776092
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,6,amplitude_estimation,128,0.0031691236479255494,0.0031691236479255494
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,6,monte_carlo,128,0.03767539245223908,0.03767539245223908
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,7,amplitude_estimation,8,0.04492961593345691,0.04492961593345691
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,7,monte_carlo,8,0.0800703840665431,0.0800703840665431
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,7,amplitude_estimation,32,0.013838908154457465,0.013838908154457465
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,7,monte_carlo,32,0.0644453840665431,0.0644453840665431
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,7,amplitude_estimation,128,0.0035339381670172337,0.0035339381670172337
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,7,monte_carlo,128,0.029304615933456908,0.029304615933456908
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,8,amplitude_estimation,8,0.10790009573698697,0.10790009573698697
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,8,monte_carlo,8,0.03787500914426065,0.03787500914426064
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,8,amplitude_estimation,32,0.019269171938896233,0.019269171938896233
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,8,monte_carlo,32,0.08475000914426065,0.08475000914426065
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,8,amplitude_estimation,128,0.0042466803983328,0.0042466803983328
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,8,monte_carlo,128,0.0239169589663761,0.0239169589663761
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,9,amplitude_estimation,8,0.013331609265676392,0.013331609265676392
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,9,monte_carlo,8,0.03844508603096049,0.03844508603096049
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,9,amplitude_estimation,32,0.013331609265676392,0.013331609265676392
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,9,monte_carlo,32,0.0071950860309604875,0.0071950860309604875
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,9,amplitude_estimation,128,0.004444652680794123,0.004444652680794123
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,9,monte_carlo,128,0.030632586030960487,0.030632586030960487
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,10,amplitude_estimation,8,0.06836894175703129,0.06836894175703129
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,10,monte_carlo,8,0.09768444883624247,0.09768444883624247
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,10,amplitude_estimation,32,0.024693743740301963,0.024693743740301963
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,10,monte_carlo,32,0.03733790653493754,0.03733790653493754
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,10,amplitude_estimation,128,0.006371538959807299,0.006371538959807299
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,10,monte_carlo,128,0.025162093465062457,0.025162093465062457
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,11,amplitude_estimation,8,0.06852720726803259,0.06852720726803259
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,11,monte_carlo,8,0.1764730691075143,0.1764730691075143
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,11,amplitude_estimation,32,0.029632768097850093,0.029632768097850093
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,11,monte_carlo,32,0.08915193089248567,0.08915193089248567
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,11,amplitude_estimation,128,0.001432514602259169,0.001432514602259169
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,11,monte_carlo,128,0.02356756667475883,0.02356756667475883
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,12,amplitude_estimation,8,0.013331609265676392,0.013331609265676392
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,12,monte_carlo,8,0.10094508603096049,0.10094508603096049
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,12,amplitude_estimation,32,0.013331609265676392,0.013331609265676392
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,12,monte_carlo,32,0.05530491396903951,0.05530491396903951
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,12,amplitude_estimation,128,0.004444652680794123,0.004444652680794123
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,12,monte_carlo,128,0.0006174139690395125,0.0006174139690395125
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,13,amplitude_estimation,8,0.06436052352356307,0.06436052352356307
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,13,monte_carlo,8,0.20954432577150595,0.20954432577150595
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,13,amplitude_estimation,32,0.02204432577150596,0.02204432577150596
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,13,monte_carlo,32,0.03919286706971069,0.03919286706971069
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,13,amplitude_estimation,128,0.008028309221099983,0.008028309221099983
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,13,monte_carlo,128,0.01311192422849404,0.01311192422849404
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,14,amplitude_estimation,8,0.10792180584144542,0.10792180584144542
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,14,monte_carlo,8,0.09719850113808236,0.09719850113808236
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,14,amplitude_estimation,32,0.019899460728399904,0.019899460728399904
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,14,monte_carlo,32,0.019073501138082358,0.019073501138082358
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,14,amplitude_estimation,128,0.004224970293874343,0.004224970293874343
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,14,monte_carlo,128,0.027900952066235676,0.027900952066235676
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,15,amplitude_estimation,8,0.07266262316672106,0.07266262316672106
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,15,monte_carlo,8,0.07204100903518851,0.07204100903518851
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,15,amplitude_estimation,32,0.009541009035188508,0.009541009035188508
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,15,monte_carlo,32,0.10329100903518851,0.10329100903518851
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,15,amplitude_estimation,128,0.00692661695145623,0.00692661695145623
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,15,monte_carlo,128,0.023796732573447305,0.023796732573447305
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,16,amplitude_estimation,8,0.10792180584144542,0.10792180584144544
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,16,monte_carlo,8,0.09719850113808236,0.09719850113808236
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,16,amplitude_estimation,32,0.019899460728399904,0.019899460728399904
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,16,monte_carlo,32,0.07086970206623568,0.07086970206623568
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,16,amplitude_estimation,128,0.004224970293874343,0.004224970293874343
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,16,monte_carlo,128,0.035713452066235676,0.035713452066235676
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,17,amplitude_estimation,8,0.048120891085406806,0.048120891085406806
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,17,monte_carlo,8,0.05543249950786695,0.055432499507866946
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,17,amplitude_estimation,32,0.010236754043670485,0.010236754043670485
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,17,monte_carlo,32,0.07340745778430562,0.07340745778430562
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,17,amplitude_estimation,128,0.006970361758840332,0.006970361758840332
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,17,monte_carlo,128,0.049969957784305616,0.049969957784305616
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,18,amplitude_estimation,8,0.07165139764908904,0.07165139764908904
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,18,monte_carlo,8,0.17002226953675142,0.17002226953675142
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,18,amplitude_estimation,32,0.017477730463248575,0.017477730463248575
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,18,monte_carlo,32,0.04622300705581528,0.04622300705581528
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,18,amplitude_estimation,128,0.004451480772770924,0.004451480772770917
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,18,monte_carlo,128,0.037209769536751425,0.03720976953675143
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,amplitude_estimation,8,0.0535965161479257,0.053596516147925696
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,monte_carlo,8,0.15357420560878676,0.15357420560878676
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,amplitude_estimation,32,0.0033177377659889262,0.0033177377659889262
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,monte_carlo,32,0.06431982085128882,0.06431982085128882
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,amplitude_estimation,128,0.0033177377659889262,0.0033177377659889262
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,19,monte_carlo,128,0.013538570851288824,0.013538570851288817
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,20,amplitude_estimation,8,0.08271433196484695,0.08271433196484695
markov_medium_conflict_h1,2,6,1,entmax(alpha=1.50),2,0.25,3.5,medium,0.5,0.17801187167531526,1,20,monte_carlo,8,0.02021433196484696,0.02021433196484696
