horizon,method,query_budget,observable_error,utility_error
1,amplitude_estimation,8,0.044378658992248625,0.044378658992248625
1,amplitude_estimation,32,0.01576170809133252,0.01576170809133252
1,amplitude_estimation,128,0.004631823935869492,0.004631823935869493
1,monte_carlo,8,0.11445408917425166,0.11445408917425166
1,monte_carlo,32,0.046113922366275845,0.046113922366275845
1,monte_carlo,128,0.02527771473769308,0.02527771473769308
2,amplitude_estimation,8,0.020891052575533874,0.020891052575533874
2,amplitude_estimation,32,0.016820586516497135,0.016820586516497135
2,amplitude_estimation,128,0.006528320420270818,0.006528320420270818
2,monte_carlo,8,0.0995828205878573,0.0995828205878573
2,monte_carlo,32,0.0480788003521474,0.0480788003521474
2,monte_carlo,128,0.029123812569680333,0.029123812569680333
4,amplitude_estimation,8,0.014013378373750213,0.014013378373750213
4,amplitude_estimation,32,0.014013378373750213,0.014013378373750213
4,amplitude_estimation,128,0.00494479440930984,0.00494479440930984
4,monte_carlo,8,0.11195725052606104,0.11195725052606104
4,monte_carlo,32,0.05526492218867515,0.05526492218867515
4,monte_carlo,128,0.020675725098886818,0.020675725098886818
8,amplitude_estimation,8,0.013706279562396213,0.013706279562396213
8,amplitude_estimation,32,0.013706279562396213,0.013706279562396213
8,amplitude_estimation,128,0.004819322977513943,0.004819322977513943
8,monte_carlo,8,0.10546907150331634,0.10546907150331634
8,monte_carlo,32,0.04077583808647841,0.04077583808647841
8,monte_carlo,128,0.02564350413038116,0.02564350413038116
12,amplitude_estimation,8,0.013708338243971543,0.013708338243971543
12,amplitude_estimation,32,0.013708338243971543,0.013708338243971543
12,amplitude_estimation,128,0.004821381659089273,0.004821381659089273
12,monte_carlo,8,0.09334143336458846,0.09334143336458846
12,monte_carlo,32,0.05020776942337795,0.05020776942337795
12,monte_carlo,128,0.02393104280951525,0.02393104280951525
