scenario,method,query_budget,observable_error,utility_error
deep_high_conflict,amplitude_estimation,8,0.012380531495878746,0.012380531495878746
deep_high_conflict,amplitude_estimation,16,0.008084299286639158,0.008084299286639158
deep_high_conflict,amplitude_estimation,32,0.004611004501474831,0.004611004501474833
deep_high_conflict,amplitude_estimation,64,0.0024325673479349383,0.002432567347934939
deep_high_conflict,amplitude_estimation,128,0.0012625181283249024,0.0012625181283249
deep_high_conflict,amplitude_estimation,256,0.0005628266911649356,0.0005628266911649332
deep_high_conflict,monte_carlo,8,0.02453156688493742,0.02453156688493742
deep_high_conflict,monte_carlo,16,0.017473920532806497,0.017473920532806497
deep_high_conflict,monte_carlo,32,0.010597826347336213,0.010597826347336213
deep_high_conflict,monte_carlo,64,0.010008581429116028,0.010008581429116028
deep_high_conflict,monte_carlo,128,0.006593476100016763,0.006593476100016762
deep_high_conflict,monte_carlo,256,0.004827759933192388,0.004827759933192387
medium_conflict,amplitude_estimation,8,0.018621267095883645,0.018621267095883645
medium_conflict,amplitude_estimation,16,0.006837332561721632,0.006837332561721632
medium_conflict,amplitude_estimation,32,0.003628744389490075,0.0036287443894900753
medium_conflict,amplitude_estimation,64,0.0020011181140973727,0.002001118114097373
medium_conflict,amplitude_estimation,128,0.0011152171971773818,0.0011152171971773818
medium_conflict,amplitude_estimation,256,0.0004382576285204245,0.000438257628520425
medium_conflict,monte_carlo,8,0.017410472404043902,0.017410472404043902
medium_conflict,monte_carlo,16,0.015722020491464688,0.015722020491464688
medium_conflict,monte_carlo,32,0.013245410682893132,0.013245410682893132
medium_conflict,monte_carlo,64,0.004180754966188674,0.004180754966188674
medium_conflict,monte_carlo,128,0.0045874168034448414,0.0045874168034448414
medium_conflict,monte_carlo,256,0.003391713017036031,0.003391713017036031
shallow_low_conflict,amplitude_estimation,8,0.02601301563609563,0.02601301563609563
shallow_low_conflict,amplitude_estimation,16,0.010258125699030318,0.01025812569903032
shallow_low_conflict,amplitude_estimation,32,0.0048424024374703915,0.0048424024374703915
shallow_low_conflict,amplitude_estimation,64,0.0032294447604536126,0.0032294447604536113
shallow_low_conflict,amplitude_estimation,128,0.001716152193235662,0.0017161521932356621
shallow_low_conflict,amplitude_estimation,256,0.000736492121179419,0.0007364921211794182
shallow_low_conflict,monte_carlo,8,0.0378163646078587,0.0378163646078587
shallow_low_conflict,monte_carlo,16,0.025656172249110033,0.025656172249110033
shallow_low_conflict,monte_carlo,32,0.017129405925827134,0.01712940592582713
shallow_low_conflict,monte_carlo,64,0.01339108438050061,0.01339108438050061
shallow_low_conflict,monte_carlo,128,0.011568139630115994,0.011568139630115994
shallow_low_conflict,monte_carlo,256,0.006039431426505586,0.006039431426505585
