scenario,method,query_budget,observable_error,utility_error
high_conflict,amplitude_estimation,8,0.01144037472941191,0.011440374729411914
high_conflict,amplitude_estimation,16,0.008830366517976088,0.008830366517976092
high_conflict,amplitude_estimation,32,0.007819100918914586,0.007819100918914586
high_conflict,amplitude_estimation,64,0.0018973685008904291,0.0018973685008904294
high_conflict,monte_carlo,8,0.0291404902248059,0.0291404902248059
high_conflict,monte_carlo,16,0.020472544029544293,0.020472544029544286
high_conflict,monte_carlo,32,0.0022417027953255033,0.0022417027953255
high_conflict,monte_carlo,64,0.006678678534150314,0.006678678534150316
medium_conflict,amplitude_estimation,8,0.018632135308988333,0.018632135308988336
medium_conflict,amplitude_estimation,16,0.0016443239923527725,0.0016443239923527725
medium_conflict,amplitude_estimation,32,0.0016443239923527725,0.0016443239923527725
medium_conflict,amplitude_estimation,64,0.0016443239923527725,0.0016443239923527725
medium_conflict,monte_carlo,8,0.009937038515170887,0.009937038515170887
medium_conflict,monte_carlo,16,0.0021245385151708873,0.0021245385151708873
medium_conflict,monte_carlo,32,0.006030788515170887,0.006030788515170887
medium_conflict,monte_carlo,64,0.00017141351517088732,0.00017141351517088732
