scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,agent_idx,model_name,accuracy,rank_correlation,exact_best_index,model_best_index
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,0,0,ground_truth,1.0,0.9999999999999999,2,2
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,0,0,quantum_encoded,1.0,0.9999999999999999,2,2
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,0,0,residual_mlp,0.0,0.0,2,3
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,0,1,ground_truth,1.0,0.9999999999999999,3,3
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,0,1,quantum_encoded,1.0,0.9999999999999999,3,3
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,0,1,residual_mlp,1.0,0.7,3,3
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,1,0,ground_truth,1.0,0.9999999999999999,0,0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,1,0,quantum_encoded,1.0,0.9999999999999999,0,0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,1,0,residual_mlp,1.0,0.7,0,0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,1,1,ground_truth,1.0,0.9999999999999999,4,4
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,1,1,quantum_encoded,1.0,0.9999999999999999,4,4
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,1,1,residual_mlp,0.0,0.49999999999999994,4,1
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,2,0,ground_truth,1.0,0.9999999999999999,0,0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,2,0,quantum_encoded,1.0,0.9999999999999999,0,0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,2,0,residual_mlp,1.0,0.9999999999999999,0,0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,2,1,ground_truth,1.0,0.9999999999999999,4,4
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,2,1,quantum_encoded,1.0,0.9999999999999999,4,4
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,2,1,residual_mlp,0.0,0.3,4,1
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,3,0,ground_truth,1.0,0.9999999999999999,3,3
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,3,0,quantum_encoded,1.0,0.9999999999999999,3,3
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,3,0,residual_mlp,1.0,0.8999999999999998,3,3
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,3,1,ground_truth,1.0,0.9999999999999999,4,4
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,3,1,quantum_encoded,1.0,0.9999999999999999,4,4
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,3,1,residual_mlp,1.0,0.9999999999999999,4,4
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,4,0,ground_truth,1.0,0.9999999999999999,3,3
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,4,0,quantum_encoded,1.0,0.9999999999999999,3,3
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,4,0,residual_mlp,0.0,0.6,3,1
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,4,1,ground_truth,1.0,0.9999999999999999,0,0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,4,1,quantum_encoded,1.0,0.9999999999999999,0,0
medium_conflict,2,3,2,2.5,medium,0.5,False,0.3418982786255065,4,1,residual_mlp,1.0,0.9999999999999999,0,0
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,0,0,ground_truth,1.0,0.9999999999999999,3,3
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,0,0,quantum_encoded,1.0,0.9999999999999999,3,3
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,0,0,residual_mlp,1.0,0.9999999999999999,3,3
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,0,1,ground_truth,1.0,0.9999999999999999,3,3
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,0,1,quantum_encoded,1.0,0.9999999999999999,3,3
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,0,1,residual_mlp,1.0,0.3,3,3
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,1,0,ground_truth,1.0,0.9999999999999999,2,2
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,1,0,quantum_encoded,1.0,0.9999999999999999,2,2
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,1,0,residual_mlp,1.0,0.8999999999999998,2,2
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,1,1,ground_truth,1.0,0.9999999999999999,4,4
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,1,1,quantum_encoded,1.0,0.9999999999999999,4,4
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,1,1,residual_mlp,1.0,0.8999999999999998,4,4
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,2,0,ground_truth,1.0,0.9999999999999999,0,0
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,2,0,quantum_encoded,1.0,0.9999999999999999,0,0
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,2,0,residual_mlp,1.0,0.9999999999999999,0,0
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,2,1,ground_truth,1.0,0.9999999999999999,2,2
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,2,1,quantum_encoded,1.0,0.9999999999999999,2,2
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,2,1,residual_mlp,0.0,0.8999999999999998,2,1
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,3,0,ground_truth,1.0,0.9999999999999999,3,3
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,3,0,quantum_encoded,1.0,0.9999999999999999,3,3
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,3,0,residual_mlp,1.0,0.9999999999999999,3,3
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,3,1,ground_truth,1.0,0.9999999999999999,4,4
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,3,1,quantum_encoded,1.0,0.9999999999999999,4,4
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,3,1,residual_mlp,0.0,0.39999999999999997,4,3
high_conflict,2,3,2,2.5,high,0.15,False,0.34525793140131383,4,0,ground_truth,1.0,0.9999999999999999,0,0
