scenario,num_agents,state_dim,mixing_depth,conflict_level,rho,shared_target,competitive_extension,mean_target_overlap,model_name,method,seed,converged,cycle_detected,time_to_stability,trajectory_variance,final_mean_utility
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,best_response,109,0,0,-1,0.029103622965014304,0.16630691028517156
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,best_response,110,0,0,-1,0.03154781319898132,0.16109164361668504
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,best_response,111,0,0,-1,0.028565590228568482,0.16330879007268742
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,best_response,112,0,0,-1,0.03573117957197694,0.16356533040228735
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,projected_gradient,109,0,0,-1,0.004140309208443423,-0.058188363905002705
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,projected_gradient,110,0,0,-1,0.00401036252711382,-0.01763727196653474
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,projected_gradient,111,0,0,-1,0.005237382285897944,-0.030012073265841002
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,projected_gradient,112,0,0,-1,0.0035326279715000406,-0.06404323949416048
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,extra_gradient,109,0,0,-1,0.004074435754702249,-0.059326169850069777
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,extra_gradient,110,0,0,-1,0.00393598872026161,-0.018814311390514926
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,extra_gradient,111,0,0,-1,0.005163984197154058,-0.031147209730120484
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,exact,extra_gradient,112,0,0,-1,0.0034887469763343563,-0.06473067636986983
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,best_response,109,0,0,-1,0.41573565776508054,0.10637483070308235
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,best_response,110,0,0,-1,0.4103768087632808,0.03345261425291931
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,best_response,111,0,0,-1,0.42082157815043536,0.061626026292473546
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,best_response,112,0,0,-1,0.4107641525013847,0.022152885732506556
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,projected_gradient,109,0,0,-1,0.004728149606756403,-0.04314700589652873
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,projected_gradient,110,0,0,-1,0.006047308092203825,0.03255158138486958
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,projected_gradient,111,0,0,-1,0.00392264031066039,-0.12683586845481565
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,projected_gradient,112,0,0,-1,0.004106300413621969,-0.05240199825287564
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,extra_gradient,109,0,0,-1,0.004657698403388277,-0.04352280846892436
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,extra_gradient,110,0,0,-1,0.00600594568860261,0.03210188198233723
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,extra_gradient,111,0,0,-1,0.0038685597821807027,-0.12735072492104874
high_conflict_exact_vs_approx,3,8,2,high,0.15,False,False,0.40708102181354344,no_mixing,extra_gradient,112,0,0,-1,0.0040796329400638485,-0.0526154488039853
