scenario,model_name,method,seed,step,agent_idx,utility
high_conflict_exact_vs_approx,exact,best_response,109,0,0,-0.11222958071484382
high_conflict_exact_vs_approx,exact,best_response,109,0,1,-0.27099002788981685
high_conflict_exact_vs_approx,exact,best_response,109,0,2,-0.3100798798805116
high_conflict_exact_vs_approx,exact,best_response,109,1,0,0.04569555030024744
high_conflict_exact_vs_approx,exact,best_response,109,1,1,0.07482249236047978
high_conflict_exact_vs_approx,exact,best_response,109,1,2,0.2229838310433764
high_conflict_exact_vs_approx,exact,best_response,109,2,0,0.14811104741093817
high_conflict_exact_vs_approx,exact,best_response,109,2,1,0.12682938890459594
high_conflict_exact_vs_approx,exact,best_response,109,2,2,0.16821311778180567
high_conflict_exact_vs_approx,exact,best_response,109,3,0,0.15989366451691048
high_conflict_exact_vs_approx,exact,best_response,109,3,1,0.09339250852433711
high_conflict_exact_vs_approx,exact,best_response,109,3,2,0.23126419651670269
high_conflict_exact_vs_approx,exact,best_response,109,4,0,0.1525624969386311
high_conflict_exact_vs_approx,exact,best_response,109,4,1,0.09943805961783528
high_conflict_exact_vs_approx,exact,best_response,109,4,2,0.2337366722153325
high_conflict_exact_vs_approx,exact,best_response,109,5,0,0.16231023594358296
high_conflict_exact_vs_approx,exact,best_response,109,5,1,0.09569847683614341
high_conflict_exact_vs_approx,exact,best_response,109,5,2,0.2328758075646159
high_conflict_exact_vs_approx,exact,best_response,109,6,0,0.15390978469378794
high_conflict_exact_vs_approx,exact,best_response,109,6,1,0.09315130550779178
high_conflict_exact_vs_approx,exact,best_response,109,6,2,0.23854617024251623
high_conflict_exact_vs_approx,exact,best_response,109,7,0,0.16238814629587647
high_conflict_exact_vs_approx,exact,best_response,109,7,1,0.09743623667957288
high_conflict_exact_vs_approx,exact,best_response,109,7,2,0.23525225077782547
high_conflict_exact_vs_approx,exact,best_response,109,8,0,0.15271819082885288
high_conflict_exact_vs_approx,exact,best_response,109,8,1,0.09640212842915681
high_conflict_exact_vs_approx,exact,best_response,109,8,2,0.2367340834337409
high_conflict_exact_vs_approx,exact,best_response,109,9,0,0.1690650530125116
high_conflict_exact_vs_approx,exact,best_response,109,9,1,0.09417614114277145
high_conflict_exact_vs_approx,exact,best_response,109,9,2,0.23705220284691453
