scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,shared_target,competitive_extension,mean_target_overlap,model_name,method,seed,converged,cycle_detected,time_to_stability,trajectory_variance,final_mean_utility
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,exact,best_response,109,1,0,18,0.10532995543007091,0.16387781674882484
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,exact,best_response,110,1,0,15,0.10000110874062768,0.16418416106017727
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,exact,projected_gradient,109,1,0,4,1.0213492890561807e-05,-0.22388464329232746
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,exact,projected_gradient,110,1,0,4,1.0366894276224689e-05,-0.14982777369452752
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,exact,extra_gradient,109,1,0,4,1.0164119351728341e-05,-0.22390167352082602
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,exact,extra_gradient,110,1,0,4,1.0308678941982716e-05,-0.14984688227606266
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,no_mixing,best_response,109,0,1,-1,0.19787375579337022,0.13877966186496263
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,no_mixing,best_response,110,0,1,-1,0.1927809906522332,0.13775632731782353
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,no_mixing,projected_gradient,109,1,0,4,1.160476529497099e-05,-0.19955164793478095
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,no_mixing,projected_gradient,110,1,0,4,1.310722569570956e-05,-0.18193197553474363
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,no_mixing,extra_gradient,109,1,0,4,1.1550412676988755e-05,-0.1995632127606988
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,no_mixing,extra_gradient,110,1,0,4,1.3073210673594987e-05,-0.18194148175217006
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,aggregate,best_response,109,1,0,15,0.08776506267577892,0.22438831492014763
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,aggregate,best_response,110,1,0,12,0.09755367414163035,0.2244351766723296
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,aggregate,projected_gradient,109,1,0,4,1.0140788614873126e-05,-0.15472418683227884
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,aggregate,projected_gradient,110,1,0,4,9.705662131940386e-06,-0.07633829984294006
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,aggregate,extra_gradient,109,1,0,4,1.0091807453687504e-05,-0.1547410719195041
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,aggregate,extra_gradient,110,1,0,4,9.657907728395724e-06,-0.07635338614224282
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,mean_field,best_response,109,1,0,15,0.08890368902718741,0.11275263806811686
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,mean_field,best_response,110,1,0,14,0.08910538386547485,0.11251358597981985
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,mean_field,projected_gradient,109,1,0,4,1.0067735003680656e-05,-0.23329267639165643
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,mean_field,projected_gradient,110,1,0,4,1.03010836098202e-05,-0.1663989783609323
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,mean_field,extra_gradient,109,1,0,4,1.0019895310976674e-05,-0.23330909266385655
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,mean_field,extra_gradient,110,1,0,4,1.0250444558788385e-05,-0.1664128931491727
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,sampling,best_response,109,0,0,-1,0.05776470611033733,0.13515993449383362
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,sampling,best_response,110,0,1,-1,0.07391730240811513,0.14949483422581294
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,sampling,projected_gradient,109,1,0,8,0.001998060678706924,-0.20023903864650203
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,sampling,projected_gradient,110,1,0,4,8.580763867718811e-06,-0.14994304774546705
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,sampling,extra_gradient,109,1,0,4,6.479325377697457e-05,-0.24906756554247114
high_conflict_exact_vs_approx,3,8,2,6.0,high,0.15,False,False,0.40708102181354344,sampling,extra_gradient,110,1,0,4,8.51100697422504e-06,-0.14995801662895872
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,exact,best_response,209,1,0,16,0.10674564126470092,0.605410872940703
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,exact,best_response,210,1,0,16,0.13363613176137076,0.6058931144981874
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,exact,projected_gradient,209,1,0,4,1.2143919103329701e-05,-0.16922906455038503
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,exact,projected_gradient,210,1,0,4,1.1266039332324908e-05,-0.3016898808120789
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,exact,extra_gradient,209,1,0,4,1.2099903799758152e-05,-0.16924001326684746
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,exact,extra_gradient,210,1,0,4,1.1220548039452311e-05,-0.3017041670536636
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,no_mixing,best_response,209,1,0,12,0.1029590457585593,0.6941891374927921
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,no_mixing,best_response,210,1,0,17,0.07726056257830945,0.7178650132004508
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,no_mixing,projected_gradient,209,1,0,4,1.3089845849480298e-05,-0.24084206940859398
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,no_mixing,projected_gradient,210,1,0,4,2.1611352150326074e-05,0.009344015367847161
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,no_mixing,extra_gradient,209,1,0,4,1.3089946929493018e-05,-0.24079835123633053
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,no_mixing,extra_gradient,210,1,0,4,2.1562584953412014e-05,0.009355600878166318
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,aggregate,best_response,209,1,0,12,0.09977044344244436,0.20504079751380946
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,aggregate,best_response,210,1,0,12,0.10572278242939469,0.2051510042013082
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,aggregate,projected_gradient,209,1,0,4,1.043023244591259e-05,-0.14715591768757438
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,aggregate,projected_gradient,210,1,0,4,1.1137192872936376e-05,-0.2244082520094887
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,aggregate,extra_gradient,209,1,0,4,1.037926102896508e-05,-0.14717282384448868
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,aggregate,extra_gradient,210,1,0,4,1.1084244257652095e-05,-0.22442627334755638
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,mean_field,best_response,209,1,0,12,0.0996781483781692,0.22251986606542454
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,mean_field,best_response,210,1,0,14,0.10071301042328329,0.22285405436712602
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,mean_field,projected_gradient,209,1,0,4,1.0479657377509864e-05,-0.23543658626452882
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,mean_field,projected_gradient,210,1,0,4,1.0749526809348633e-05,-0.19920045988723367
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,mean_field,extra_gradient,209,1,0,4,1.0430848412541554e-05,-0.23545258419871873
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,mean_field,extra_gradient,210,1,0,4,1.069759993387232e-05,-0.1992173696824764
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,sampling,best_response,209,0,1,-1,0.08878173769229765,0.07913075609785071
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,sampling,best_response,210,0,1,-1,0.06635991169369918,0.07193106879014234
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,sampling,projected_gradient,209,1,0,6,0.0006134497114138214,-0.13251953965604893
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,sampling,projected_gradient,210,1,0,4,1.0763734880609494e-05,-0.3017506437068241
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,sampling,extra_gradient,209,1,0,5,0.000397725630569811,-0.12977357522913513
shared_target_variant,3,8,2,6.0,high,0.15,True,False,0.9999999999999998,sampling,extra_gradient,210,1,0,4,1.0694257718110495e-05,-0.3017720890722259
