scenario,model_name,method,seed,step,agent_idx,utility
high_conflict_exact_vs_approx,exact,best_response,109,0,0,-0.11222958071484382
high_conflict_exact_vs_approx,exact,best_response,109,0,1,-0.27099002788981685
high_conflict_exact_vs_approx,exact,best_response,109,0,2,-0.3100798798805116
high_conflict_exact_vs_approx,exact,best_response,109,1,0,-0.07883836952883613
high_conflict_exact_vs_approx,exact,best_response,109,1,1,0.04613975620099553
high_conflict_exact_vs_approx,exact,best_response,109,1,2,-0.12574672132456519
high_conflict_exact_vs_approx,exact,best_response,109,2,0,0.09326992103764684
high_conflict_exact_vs_approx,exact,best_response,109,2,1,-0.0798911755960139
high_conflict_exact_vs_approx,exact,best_response,109,2,2,0.03332717074854702
high_conflict_exact_vs_approx,exact,best_response,109,3,0,0.14530624844089568
high_conflict_exact_vs_approx,exact,best_response,109,3,1,0.012267202217434353
high_conflict_exact_vs_approx,exact,best_response,109,3,2,0.11556576132810223
high_conflict_exact_vs_approx,exact,best_response,109,4,0,0.16961984910661712
high_conflict_exact_vs_approx,exact,best_response,109,4,1,0.054657805990088126
high_conflict_exact_vs_approx,exact,best_response,109,4,2,0.20379951415252742
high_conflict_exact_vs_approx,exact,best_response,109,5,0,0.15223285008194948
high_conflict_exact_vs_approx,exact,best_response,109,5,1,0.07479137266586769
high_conflict_exact_vs_approx,exact,best_response,109,5,2,0.27873604291966875
high_conflict_exact_vs_approx,exact,best_response,109,6,0,0.13230588828876225
high_conflict_exact_vs_approx,exact,best_response,109,6,1,0.10778780269799758
high_conflict_exact_vs_approx,exact,best_response,109,6,2,0.2811079772436038
high_conflict_exact_vs_approx,exact,best_response,109,7,0,0.11592173886925808
high_conflict_exact_vs_approx,exact,best_response,109,7,1,0.14020897091716375
high_conflict_exact_vs_approx,exact,best_response,109,7,2,0.26298289551545573
high_conflict_exact_vs_approx,exact,best_response,109,8,0,0.10533606916563965
high_conflict_exact_vs_approx,exact,best_response,109,8,1,0.15949656212793606
high_conflict_exact_vs_approx,exact,best_response,109,8,2,0.24495116984575754
high_conflict_exact_vs_approx,exact,best_response,109,9,0,0.11187067667062794
high_conflict_exact_vs_approx,exact,best_response,109,9,1,0.1584998791042641
high_conflict_exact_vs_approx,exact,best_response,109,9,2,0.22648909734345612
