scenario,baseline,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,competitive_extension,mean_abs_utility_error_mean,mean_abs_utility_error_std,mean_rel_utility_error_mean,mean_rel_utility_error_std,mean_abs_fidelity_error_mean,mean_abs_fidelity_error_std,kl_divergence_mean,kl_divergence_std,l2_distribution_error_mean,l2_distribution_error_std,br_match_rate_mean,br_match_rate_std,spearman_rank_correlation_mean,spearman_rank_correlation_std
N2_n4_L0_low_B2,aggregate,2,4,0,2.0,low,False,0.07233652556737809,0.08286712019857258,1.108082812417252,1.7865550564132258,0.07233652556737809,0.08286712019857256,-3.469446951953612e-17,8.937797527903672e-17,7.144072877199312e-17,4.52006010188558e-17,0.6458333333333334,0.31204677278542253,0.7390734265734267,0.1355045892412624
N2_n4_L0_low_B2,mean_field,2,4,0,2.0,low,False,3.715199444383662e-17,3.895088414222839e-17,7.685050569046464e-16,1.5158466995943795e-15,3.679962873777883e-17,3.928622713808113e-17,-1.3877787807814452e-17,1.125206469152778e-16,9.954665166543587e-17,5.281508130001585e-17,1.0,0.0,1.0,0.0
N2_n4_L0_low_B2,no_mixing,2,4,0,2.0,low,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
N2_n4_L0_low_B2,sampling,2,4,0,2.0,low,False,0.007314139773031935,0.003753846805580633,0.2932963264708222,0.6113441781964015,0.0073141397730319335,0.0037538468055806325,0.0007732444654645433,8.009959914960631e-17,0.019580017241956463,3.5588035610945905e-17,0.9583333333333334,0.2041241452319315,0.994318181818182,0.005338923542350143
N2_n4_L1_medium_B6,aggregate,2,4,1,6.0,medium,False,0.22638873425548012,0.12968754062311832,3.222424489375809,5.021383420941347,0.22638873425548012,0.12968754062311835,0.49239722157902843,0.47559141687277806,0.3954515778418552,0.21580392211339738,0.2916666666666667,0.29179603756088246,0.4710081585081585,0.2419934507284145
N2_n4_L1_medium_B6,mean_field,2,4,1,6.0,medium,False,0.14526181354681703,0.0936800646709276,1.319342018107,0.7944980771270544,0.14526181354681703,0.09368006467092761,0.2950755553808363,0.23440061554313946,0.33153900892772176,0.16479976549508427,0.3958333333333333,0.29411498293763577,0.6519522144522145,0.16542685525634312
N2_n4_L1_medium_B6,no_mixing,2,4,1,6.0,medium,False,0.22692996159316237,0.13442117373610035,2.3716066742276363,2.0581392599630375,0.22692996159316237,0.13442117373610035,0.26661835647441595,0.18778086299225807,0.34210178061047664,0.13811223977991127,0.0,0.0,0.08930652680652683,0.2038246249666372
N2_n4_L1_medium_B6,sampling,2,4,1,6.0,medium,False,0.013674227679654448,0.007605762533581382,0.12823404767361926,0.1014374461819473,0.013674227679654446,0.007605762533581382,0.0009395277843870989,0.0006292799281113119,0.0183626627957481,0.008140445472644276,0.9791666666666666,0.10206207261596574,0.9877622377622379,0.00892926430865819
N2_n4_L2_high_B10,aggregate,2,4,2,10.0,high,False,0.31021590452182474,0.10388418816389267,4.764085670895806,7.204257193247611,0.31021590452182474,0.10388418816389267,0.4245618838497563,0.3178879011241218,0.36959831885923616,0.13527816671617682,0.3541666666666667,0.31204677278542253,0.5106351981351982,0.20945163508877584
N2_n4_L2_high_B10,mean_field,2,4,2,10.0,high,False,0.10429150951489363,0.059152127442314455,1.3283897140423426,1.9480645552599334,0.10429150951489363,0.05915212744231446,0.1886359139185411,0.18108494864122407,0.23843240591945647,0.12560772290157832,0.6041666666666666,0.360530004379623,0.8091491841491844,0.07793167150916208
