delta,agent_idx,utility
-0.6,0,-0.3346243078397131
-0.6,1,-0.29558392004708184
-0.6,2,-0.19969273972266416
-0.5599999999999999,0,-0.3340972842315554
-0.5599999999999999,1,-0.29639729055292946
-0.5599999999999999,2,-0.19912841030275533
-0.52,0,-0.33357638001751044
-0.52,1,-0.29723925886601094
-0.52,2,-0.19850057698230217
-0.48,0,-0.3330629966716214
-0.48,1,-0.29810963632406123
-0.48,2,-0.19780702497242905
-0.43999999999999995,0,-0.3325585934832401
-0.43999999999999995,1,-0.2990081462136848
-0.43999999999999995,2,-0.1970455805062413
-0.39999999999999997,0,-0.3320646830164984
-0.39999999999999997,1,-0.2999344198003007
-0.39999999999999997,2,-0.1962141232967992
-0.36,0,-0.3315828257111621
-0.36,1,-0.3008879926905049
-0.36,2,-0.19531059962248004
-0.31999999999999995,0,-0.3311146236079868
-0.31999999999999995,1,-0.3018683015864174
-0.31999999999999995,2,-0.1943330359637282
-0.27999999999999997,0,-0.3306617131942379
-0.27999999999999997,1,-0.30287468149229946
-0.27999999999999997,2,-0.19327955309907147
-0.24,0,-0.3302257573791946
-0.24,1,-0.3039063634336775
-0.24,2,-0.19214838055193223
-0.19999999999999996,0,-0.3298084366250649
-0.19999999999999996,1,-0.3049624727482622
-0.19999999999999996,2,-0.1909378712635585
-0.15999999999999998,0,-0.32751428443010216
-0.15999999999999998,1,-0.3062827945148263
-0.15999999999999998,2,-0.18890084571869314
-0.12,0,-0.32408321809009444
-0.12,1,-0.30776114470749943
-0.12,2,-0.18632695117780884
-0.07999999999999996,0,-0.3208501218073974
-0.07999999999999996,1,-0.30922463618919144
-0.07999999999999996,2,-0.1837411663003631
-0.039999999999999925,0,-0.31781500607842406
-0.039999999999999925,1,-0.31067275063628674
-0.039999999999999925,2,-0.18114391047970013
0.0,0,-0.31497787960376067
0.0,1,-0.31210496789999176
0.0,2,-0.17853560459776543
0.040000000000000036,0,-0.31233874925103033
0.040000000000000036,1,-0.31352076625866404
0.040000000000000036,2,-0.17591667089222388
0.08000000000000007,0,-0.30989762001835036
0.08000000000000007,1,-0.31491962267719315
0.08000000000000007,2,-0.17328753282550777
0.12,0,-0.30765449499843145
0.12,1,-0.3163010130733068
0.12,2,-0.1706486149559873
0.16000000000000003,0,-0.3056093753433739
0.16000000000000003,1,-0.31766441259066375
0.16000000000000003,2,-0.16800034281145929
0.20000000000000007,0,-0.3037622602302125
0.20000000000000007,1,-0.3190092958785807
0.20000000000000007,2,-0.16534314276514608
0.24,0,-0.30211314682726015
0.24,1,-0.320335137378232
0.24,2,-0.1626774419143848
0.28,0,-0.3006620302613063
0.28,1,-0.3216414116151478
0.28,2,-0.16000366796218388
0.32000000000000006,0,-0.29940890358571787
0.32000000000000006,1,-0.322927593497822
0.32000000000000006,2,-0.15732224910182213
0.36,0,-0.2983537577494972
0.36,1,-0.32419315862223563
0.36,2,-0.1546336139046494
0.4,0,-0.2974965815673469
0.4,1,-0.32543758358208474
0.4,2,-0.151938191211248
0.44000000000000006,0,-0.2968373616907918
0.44000000000000006,1,-0.32666034628449275
0.44000000000000006,2,-0.14923641002610574
0.4800000000000001,0,-0.2963760825804096
0.4800000000000001,1,-0.3278609262709768
0.4800000000000001,2,-0.146528699415937
0.5200000000000001,0,-0.2961127264792183
0.5200000000000001,1,-0.32903880504342553
0.5200000000000001,2,-0.14381548841179612
0.5599999999999999,0,-0.2960472733872709
0.5599999999999999,1,-0.33019346639483577
0.5599999999999999,2,-0.14109720591509506
0.6,0,-0.29617970103750235
0.6,1,-0.331324396744545
0.6,2,-0.13837428060765453
