scenario,model_name,method,seed,step,agent_idx,utility
mixing_high_conflict,exact,best_response,19,0,0,0.2954814415969931
mixing_high_conflict,exact,best_response,19,0,1,0.02011294273121267
mixing_high_conflict,exact,best_response,19,1,0,0.26998673321017397
mixing_high_conflict,exact,best_response,19,1,1,0.3877008459004473
mixing_high_conflict,exact,best_response,19,2,0,0.191589388099355
mixing_high_conflict,exact,best_response,19,2,1,0.3854306112405875
mixing_high_conflict,exact,best_response,19,3,0,0.19830668305751903
mixing_high_conflict,exact,best_response,19,3,1,0.369524698827678
mixing_high_conflict,exact,best_response,19,4,0,0.2206628015112943
mixing_high_conflict,exact,best_response,19,4,1,0.3612988784029907
mixing_high_conflict,exact,best_response,19,5,0,0.19870326185771248
mixing_high_conflict,exact,best_response,19,5,1,0.3572969351935286
mixing_high_conflict,exact,best_response,19,6,0,0.238268867763474
mixing_high_conflict,exact,best_response,19,6,1,0.3766689085059648
mixing_high_conflict,exact,best_response,19,7,0,0.19851853974816785
mixing_high_conflict,exact,best_response,19,7,1,0.3568198311695604
mixing_high_conflict,exact,best_response,19,8,0,0.2332536807791095
mixing_high_conflict,exact,best_response,19,8,1,0.36661947628294383
mixing_high_conflict,exact,best_response,19,9,0,0.19827365208375336
mixing_high_conflict,exact,best_response,19,9,1,0.3641371085463168
mixing_high_conflict,exact,best_response,19,10,0,0.23340699580529906
mixing_high_conflict,exact,best_response,19,10,1,0.3622353181457343
mixing_high_conflict,exact,best_response,19,11,0,0.19755797442265477
mixing_high_conflict,exact,best_response,19,11,1,0.35895891638614946
mixing_high_conflict,exact,best_response,19,12,0,0.23232804146214536
mixing_high_conflict,exact,best_response,19,12,1,0.361302975432804
mixing_high_conflict,exact,best_response,19,13,0,0.19649161554781264
mixing_high_conflict,exact,best_response,19,13,1,0.3581879659859096
mixing_high_conflict,exact,best_response,19,14,0,0.23150305145511363
mixing_high_conflict,exact,best_response,19,14,1,0.36191307964011105
mixing_high_conflict,exact,best_response,19,15,0,0.19562352447761816
mixing_high_conflict,exact,best_response,19,15,1,0.35865874967488304
mixing_high_conflict,exact,best_response,19,16,0,0.23097062579447472
mixing_high_conflict,exact,best_response,19,16,1,0.3616296741942951
mixing_high_conflict,exact,best_response,19,17,0,0.19493989851831472
mixing_high_conflict,exact,best_response,19,17,1,0.3582876766638609
mixing_high_conflict,exact,best_response,19,18,0,0.2304947081008286
mixing_high_conflict,exact,best_response,19,18,1,0.3619431179849207
mixing_high_conflict,exact,best_response,20,0,0,0.03446808620727032
mixing_high_conflict,exact,best_response,20,0,1,0.09084363782565727
mixing_high_conflict,exact,best_response,20,1,0,0.25365648099587407
mixing_high_conflict,exact,best_response,20,1,1,0.4106619239124497
mixing_high_conflict,exact,best_response,20,2,0,0.1968920435605951
mixing_high_conflict,exact,best_response,20,2,1,0.3909869196622834
mixing_high_conflict,exact,best_response,20,3,0,0.21344843159327515
mixing_high_conflict,exact,best_response,20,3,1,0.3553852032043195
mixing_high_conflict,exact,best_response,20,4,0,0.22314222756233754
mixing_high_conflict,exact,best_response,20,4,1,0.3646049147092718
mixing_high_conflict,exact,best_response,20,5,0,0.19776422046858833
mixing_high_conflict,exact,best_response,20,5,1,0.3600329597574799
mixing_high_conflict,exact,best_response,20,6,0,0.2331725308209368
mixing_high_conflict,exact,best_response,20,6,1,0.3640199904745116
mixing_high_conflict,exact,best_response,20,7,0,0.19097387893563045
mixing_high_conflict,exact,best_response,20,7,1,0.3633727261591859
mixing_high_conflict,exact,best_response,20,8,0,0.23260563251100463
mixing_high_conflict,exact,best_response,20,8,1,0.3622980613073201
mixing_high_conflict,exact,best_response,20,9,0,0.19139314705700466
mixing_high_conflict,exact,best_response,20,9,1,0.359985926584367
mixing_high_conflict,exact,best_response,20,10,0,0.22960037839549363
mixing_high_conflict,exact,best_response,20,10,1,0.3614024278263961
mixing_high_conflict,exact,best_response,20,11,0,0.19254031297892038
mixing_high_conflict,exact,best_response,20,11,1,0.3588724594099168
mixing_high_conflict,exact,best_response,20,12,0,0.2292069201272266
mixing_high_conflict,exact,best_response,20,12,1,0.36177935822553425
mixing_high_conflict,exact,best_response,20,13,0,0.19284697666517303
mixing_high_conflict,exact,best_response,20,13,1,0.35859302236829704
mixing_high_conflict,exact,best_response,20,14,0,0.2297694037481131
mixing_high_conflict,exact,best_response,20,14,1,0.3621180687112166
mixing_high_conflict,exact,best_response,20,15,0,0.1932960350674397
mixing_high_conflict,exact,best_response,20,15,1,0.35840789584266286
mixing_high_conflict,exact,best_response,20,16,0,0.22978914751231294
mixing_high_conflict,exact,best_response,20,16,1,0.3618402491505538
mixing_high_conflict,exact,best_response,20,17,0,0.19333431375107574
mixing_high_conflict,exact,best_response,20,17,1,0.3587912874324085
